id;ano_lançamento;titulo_obra;genero;pais_produtor_obra;nacionalidade_obra;data_lançamento;distribuidora;publico_acumulado;avaliacao
837;2013;Aposta máxima;Ficção;Estados Unidos;Estrangeiros;04/10/2013;Fox;208632;
838;2012;Um Método Perigoso;Ficção;Alemanha, Canadá, Inglaterra, Suíça;Estrangeiros;30/03/2012;Imagem;208538;
839;2010;Contatos de 4º Grau;Ficção;Estados Unidos;Estrangeiros;01/01/2010;Imagem;208316;
840;2012;Poder Sem Limites;Ficção;Estados Unidos;Estrangeiros;02/03/2012;Fox;207529;
841;2014;Philomena;Ficção;Estados Unidos;Estrangeiros;14/02/2014;Paris;207214;
842;2012;O diário de Tati;Ficção;Brasil;Brasileiros;24/08/2012;Vinny filmes;206991;
843;2017;Como nossos pais;Ficção;Brasil;Brasileiros;31/08/2017;Imovision;206893;
844;2009;Novidades no Amor;Ficção;Estados Unidos;Estrangeiros;16/10/2009;Imagem;206435;
845;2009;Pagando Bem que Mal Tem?;Ficção;Estados Unidos;Estrangeiros;21/03/2009;Imagem;206277;
846;2010;Caso 39;Ficção;Canadá, Estados Unidos;Estrangeiros;09/04/2010;Paramount;205927;
847;2013;A hora mais escura;Ficção;Estados Unidos;Estrangeiros;15/02/2013;Imagem;205909;
848;2014;Irmã Dulce;Ficção;Brasil;Brasileiros;13/11/2014;Downtown/Paris;205157;
849;2014;Hoje eu quero voltar sozinho;Ficção;Brasil;Brasileiros;10/04/2014;Vitrine Filmes;204791;
850;2010;Skyline - a invasão;Ficção;Estados Unidos;Estrangeiros;03/12/2010;Playarte;203309;
851;2012;Diário de um Banana - Dias de Cão;Ficção;Estados Unidos;Estrangeiros;02/11/2012;Fox;203055;
852;2012;Um Homem de Sorte;Ficção;Estados Unidos;Estrangeiros;18/05/2012;Warner;202578;
853;2015;Carga explosiva - O legado;Ficção;Bélgica, China, França;Estrangeiros;10/09/2015;Califórnia;202508;
854;2015;Magic Mike XXL;Ficção;Estados Unidos;Estrangeiros;30/07/2015;Warner;202347;
855;2012;A saga Molusco: Anoitecer;Ficção;Estados Unidos;Estrangeiros;02/03/2012;Playarte;201611;
856;2011;A hora do espanto;Ficção;Estados Unidos;Estrangeiros;07/10/2011;Disney;201583;
857;2013;Rush - no limite da emoção;Ficção;Alemanha, Estados Unidos, Reino Unido;Estrangeiros;13/09/2013;Califórnia;200681;
858;2012;Plano de Fuga;Ficção;Estados Unidos;Estrangeiros;18/05/2012;Imagem;199622;
859;2016;Julieta;Ficção;Espanha;Estrangeiros;07/07/2016;Universal;199484;
860;2011;Sucker Punch - mundo surreal;Ficção;Canadá, Estados Unidos;Estrangeiros;25/03/2011;Warner;198829;
861;2010;Nanny McPhee e as lições mágicas;Ficção;Estados Unidos, França, Reino Unido;Estrangeiros;18/09/2010;Universal;197930;
862;2012;Anjos da Lei;Ficção;Estados Unidos;Estrangeiros;04/05/2012;Sony;196626;
863;2010;O golpista do ano ;Ficção;Estados Unidos;Estrangeiros;04/06/2010;Imagem;196274;
864;2017;Ninguém entra, ninguém sai;Ficção;Brasil;Brasileiros;04/05/2017;Imagem;195992;
